Track,TestCase,Matcher,Label Left,Comment Left,Type Left,URI Left,Relation,Confidence (Matcher),URI Right,Label Right,Comment Right,Type Right,Residual True Positive,Evaluation Result
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000243,=,1.0,http://human.owl#NCI_C32336,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000169,=,1.0,http://human.owl#NCI_C12441,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Deep_Epigastric_Vein""]",[],"[""owl:Class""]",http://human.owl#NCI_C32434,=,1.0,http://mouse.owl#MA_0002205,"[""pudendoepigastric vein""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Pituitary_Gland""]",[],"[""owl:Class""]",http://human.owl#NCI_C12399,=,1.0,http://mouse.owl#MA_0000176,"[""pituitary gland""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002543,=,0.0,http://human.owl#NCI_C32505,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Taste_Bud_Cell""]",[],"[""owl:Class""]",http://human.owl#NCI_C13147,=,1.0,http://mouse.owl#MA_0001591,"[""taste bud""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000660,=,1.0,http://human.owl#NCI_C32718,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001715,=,1.0,http://human.owl#NCI_C33896,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000735,=,1.0,http://human.owl#NCI_C12904,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Pupil""]",[],"[""owl:Class""]",http://human.owl#NCI_C33429,=,1.0,http://mouse.owl#MA_0001292,"[""pupil""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Fourth_Ventricle_of_the_Brain""]",[],"[""owl:Class""]",http://human.owl#NCI_C12828,=,1.0,http://mouse.owl#MA_0000986,"[""fourth ventricle ependyma""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Atlanto-axial_Joint""]",[],"[""owl:Class""]",http://human.owl#NCI_C32157,=,1.0,http://mouse.owl#MA_0001514,"[""joint of vertebral body""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000438,=,1.0,http://human.owl#NCI_C32968,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001372,=,0.0,http://human.owl#NCI_C52788,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002376,=,0.0,http://human.owl#NCI_C53007,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000274,=,0.0,http://human.owl#NCI_C32905,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002096,=,1.0,http://human.owl#NCI_C33855,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Saccule""]",[],"[""owl:Class""]",http://human.owl#NCI_C33503,=,1.0,http://mouse.owl#MA_0000246,"[""saccule""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Lobe_of_the_Left_Lung""]",[],"[""owl:Class""]",http://human.owl#NCI_C48945,=,1.0,http://mouse.owl#MA_0000425,"[""left lung""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000517,=,0.0,http://human.owl#NCI_C12295,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002262,=,0.0,http://human.owl#NCI_C53145,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002339,=,1.0,http://human.owl#NCI_C53169,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000432,=,0.0,http://human.owl#NCI_C12425,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001289,=,1.0,http://human.owl#NCI_C33586,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Articular_Bone_Surface""]",[],"[""owl:Class""]",http://human.owl#NCI_C32143,=,1.0,http://mouse.owl#MA_0001518,"[""joint articular surface""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001913,=,0.0,http://human.owl#NCI_C52848,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Purkinje_s_Cell""]",[],"[""owl:Class""]",http://human.owl#NCI_C12651,=,1.0,http://mouse.owl#MA_0000997,"[""cerebellum purkinje cell layer""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001351,=,0.0,http://human.owl#NCI_C52799,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000010,=,0.0,http://human.owl#NCI_C12686,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Hematopoietic_and_Lymphatic_System_Part""]",[],"[""owl:Class""]",http://human.owl#NCI_C41166,=,1.0,http://mouse.owl#MA_0002434,"[""hematopoietic system""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000441,=,0.0,http://human.owl#NCI_C12428,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002611,=,1.0,http://human.owl#NCI_C32883,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002462,=,1.0,http://human.owl#NCI_C33884,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002271,=,0.0,http://human.owl#NCI_C53149,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Mylohyoid""]",[],"[""owl:Class""]",http://human.owl#NCI_C52962,=,1.0,http://mouse.owl#MA_0002344,"[""mylohyoid""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Olfactory_Nerve""]",[],"[""owl:Class""]",http://human.owl#NCI_C12759,=,1.0,http://mouse.owl#MA_0001096,"[""olfactory I nerve""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Eye_Segment""]",[],"[""owl:Class""]",http://human.owl#NCI_C33525,=,1.0,http://mouse.owl#MA_0002484,"[""eye anterior segment""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002368,=,1.0,http://human.owl#NCI_C33515,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Obturator_Muscle""]",[],"[""owl:Class""]",http://human.owl#NCI_C33193,=,1.0,http://mouse.owl#MA_0000534,"[""pelvis muscle""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000453,=,1.0,http://human.owl#NCI_C33106,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001365,=,0.0,http://human.owl#NCI_C52795,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001531,=,1.0,http://human.owl#NCI_C32548,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002315,=,1.0,http://human.owl#NCI_C52704,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001274,=,1.0,http://human.owl#NCI_C52800,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002346,=,0.0,http://human.owl#NCI_C32857,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002338,=,0.0,http://human.owl#NCI_C52954,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001792,=,0.0,http://human.owl#NCI_C12276,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Lung_Lower_Lobe""]",[],"[""owl:Class""]",http://human.owl#NCI_C12287,=,1.0,http://mouse.owl#MA_0000427,"[""right lung accessory lobe""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000633,=,1.0,http://human.owl#NCI_C33651,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002356,=,1.0,http://human.owl#NCI_C53171,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000183,=,0.0,http://human.owl#NCI_C12512,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Splenic_Vein""]",[],"[""owl:Class""]",http://human.owl#NCI_C33608,=,1.0,http://mouse.owl#MA_0002164,"[""lienal vein""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002148,=,0.0,http://human.owl#NCI_C32854,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Subsegmental_Bronchus""]",[],"[""owl:Class""]",http://human.owl#NCI_C41266,=,1.0,http://mouse.owl#MA_0000439,"[""segmental bronchus""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001305,=,1.0,http://human.owl#NCI_C32311,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000709,=,1.0,http://human.owl#NCI_C49318,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000701,=,0.0,http://human.owl#NCI_C49190,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000829,=,1.0,http://human.owl#NCI_C49335,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001964,=,1.0,http://human.owl#NCI_C33734,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Superficial_Vein""]",[],"[""owl:Class""]",http://human.owl#NCI_C33666,=,1.0,http://mouse.owl#MA_0002242,"[""superficial temporal vein""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000056,=,1.0,http://human.owl#NCI_C12369,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000009,=,0.0,http://human.owl#NCI_C12472,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Serosa""]",[],"[""owl:Class""]",http://human.owl#NCI_C13169,=,1.0,http://mouse.owl#MA_0001522,"[""gastrointestinal system serosa""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001276,=,0.0,http://human.owl#NCI_C32783,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002334,=,1.0,http://human.owl#NCI_C52950,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000376,=,0.0,http://human.owl#NCI_C33456,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000650,=,1.0,http://human.owl#NCI_C52719,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000469,=,1.0,http://human.owl#NCI_C52843,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000295,=,1.0,http://human.owl#NCI_C12796,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002646,=,0.0,http://human.owl#NCI_C13101,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Periodontium""]",[],"[""owl:Class""]",http://human.owl#NCI_C33304,=,1.0,http://mouse.owl#MA_0002467,"[""periodontal ligament""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Renal_Corpuscle""]",[],"[""owl:Class""]",http://human.owl#NCI_C33456,=,1.0,http://mouse.owl#MA_0000376,"[""renal corpuscle""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001892,=,1.0,http://human.owl#NCI_C33469,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000159,=,1.0,http://human.owl#NCI_C33543,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000002,=,0.0,http://human.owl#NCI_C32696,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Laryngeal_Mucous_Salivary_Gland""]",[],"[""owl:Class""]",http://human.owl#NCI_C49244,=,1.0,http://mouse.owl#MA_0001767,"[""larynx mucous gland""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002535,=,0.0,http://human.owl#NCI_C52551,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000133,=,0.0,http://human.owl#NCI_C12351,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001679,=,0.0,http://human.owl#NCI_C32456,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001209,=,0.0,http://human.owl#NCI_C33378,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002736,=,1.0,http://human.owl#NCI_C12314,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Subtalar_Joint""]",[],"[""owl:Class""]",http://human.owl#NCI_C33653,=,1.0,http://mouse.owl#MA_0001351,"[""talus""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000953,=,0.0,http://human.owl#NCI_C32249,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000379,=,0.0,http://human.owl#NCI_C12417,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001441,=,1.0,http://human.owl#NCI_C33726,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002267,=,1.0,http://human.owl#NCI_C53039,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000095,=,0.0,http://human.owl#NCI_C32161,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000668,=,1.0,http://human.owl#NCI_C52751,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000777,=,1.0,http://human.owl#NCI_C33791,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001106,=,0.0,http://human.owl#NCI_C12812,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000230,=,1.0,http://human.owl#NCI_C13060,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000705,=,0.0,http://human.owl#NCI_C49192,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001576,=,1.0,http://human.owl#NCI_C49239,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000116,=,0.0,http://human.owl#NCI_C12666,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000312,=,0.0,http://human.owl#NCI_C12744,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001394,=,1.0,http://human.owl#NCI_C12863,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001523,=,1.0,http://human.owl#NCI_C32669,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000190,=,0.0,http://human.owl#NCI_C32452,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001904,=,1.0,http://human.owl#NCI_C12702,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000249,=,1.0,http://human.owl#NCI_C33695,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002196,=,1.0,http://human.owl#NCI_C32422,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000192,=,0.0,http://human.owl#NCI_C12834,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002513,=,0.0,http://human.owl#NCI_C13192,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001636,=,1.0,http://human.owl#NCI_C12677,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002279,=,0.0,http://human.owl#NCI_C32401,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000655,=,1.0,http://human.owl#NCI_C33814,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001971,=,1.0,http://human.owl#NCI_C12733,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Anterior_Carpal_Artery""]",[],"[""owl:Class""]",http://human.owl#NCI_C32080,=,1.0,http://mouse.owl#MA_0002069,"[""ulnar artery""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,"[""Temporal_Muscle""]",[],"[""owl:Class""]",http://human.owl#NCI_C33743,=,1.0,http://mouse.owl#MA_0002390,"[""temporalis""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000327,=,0.0,http://human.owl#NCI_C12779,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000562,=,1.0,http://human.owl#NCI_C52827,[],[],[],false,false positive
"",localtest,MyMatcher,"[""Subcostal_Artery""]",[],"[""owl:Class""]",http://human.owl#NCI_C53000,=,1.0,http://mouse.owl#MA_0002048,"[""subcostal artery""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002671,=,0.0,http://human.owl#NCI_C33599,[],[],[],true,false negative
"",localtest,MyMatcher,"[""External_Cuneiform_Bone_of_the_Foot""]",[],"[""owl:Class""]",http://human.owl#NCI_C32554,=,1.0,http://mouse.owl#MA_0000643,"[""foot bone""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002115,=,0.0,http://human.owl#NCI_C32579,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Extensor_Carpi_Radialis_Brevis""]",[],"[""owl:Class""]",http://human.owl#NCI_C52911,=,1.0,http://mouse.owl#MA_0002290,"[""extensor carpi radialis brevis""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000995,=,0.0,http://human.owl#NCI_C49141,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001974,=,0.0,http://human.owl#NCI_C32845,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002242,=,0.0,http://human.owl#NCI_C52700,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000407,=,0.0,http://human.owl#NCI_C12323,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Small_Intestinal_Muscularis_Mucosa""]",[],"[""owl:Class""]",http://human.owl#NCI_C33570,=,1.0,http://mouse.owl#MA_0002687,"[""small intestine muscularis mucosa""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000087,=,1.0,http://human.owl#NCI_C12670,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000337,=,0.0,http://human.owl#NCI_C12386,[],[],[],true,false negative
"",localtest,MyMatcher,"[""Radial_Vein_of_the_Upper_Extremity""]",[],"[""owl:Class""]",http://human.owl#NCI_C33445,=,1.0,http://mouse.owl#MA_0002087,"[""brachial vein""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001404,=,0.0,http://human.owl#NCI_C52764,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000710,=,0.0,http://human.owl#NCI_C33853,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],"[""owl:Class""]",http://www.geneontology.org/formats/oboInOwl#DbXref,=,1.0,http://www.geneontology.org/formats/oboInOwl#DbXref,[],[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000358,=,0.0,http://human.owl#NCI_C12392,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002741,=,1.0,http://human.owl#NCI_C49334,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002206,=,0.0,http://human.owl#NCI_C12776,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000097,=,1.0,http://human.owl#NCI_C33555,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002673,=,1.0,http://human.owl#NCI_C38515,[],[],[],true,true positive
"",localtest,MyMatcher,"[""Medial_Rectus_Muscle""]",[],"[""owl:Class""]",http://human.owl#NCI_C33068,=,1.0,http://mouse.owl#MA_0001281,"[""medial rectus extraocular muscle""]",[],"[""owl:Class""]",false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000243,=,0.0,http://human.owl#NCI_C32335,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001978,=,1.0,http://human.owl#NCI_C52861,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001352,=,0.0,http://human.owl#NCI_C32840,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001827,=,1.0,http://human.owl#NCI_C13166,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001421,=,0.0,http://human.owl#NCI_C32159,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002073,=,1.0,http://human.owl#NCI_C32821,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001746,=,1.0,http://human.owl#NCI_C49323,[],[],[],true,true positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0000511,=,1.0,http://human.owl#NCI_C12883,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001226,=,1.0,http://human.owl#NCI_C53027,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001057,=,0.0,http://human.owl#NCI_C33186,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002166,=,1.0,http://human.owl#NCI_C32579,[],[],[],false,false positive
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0001534,=,0.0,http://human.owl#NCI_C32833,[],[],[],true,false negative
"",localtest,MyMatcher,[],[],[],http://mouse.owl#MA_0002571,=,0.0,http://human.owl#NCI_C32455,[],[],[],true,false negative
